target_horizon_days,model_name,feature_count,selection_rows,evaluation_rows,selection_mse,selection_mae,selection_correlation,selection_directional_accuracy,evaluation_mse,evaluation_mae,evaluation_correlation,evaluation_directional_accuracy,nonzero_count,alpha,l1_ratio
87,elastic_net,40,96,94,0.0005060001877176334,0.018760418490617572,0.8494958995605179,1.0,0.011577074835152685,0.09252602810504505,0.6953940335551162,0.9468085106382979,25,0.000221221629107045,0.5
65,ridge,40,118,116,0.0005237929763972511,0.018376746138253408,0.8652808596732816,0.9152542372881356,0.01010081352291694,0.08424611924416063,0.6952359097690679,0.8448275862068966,38,0.18873918221350977,
97,lasso,40,86,84,0.0007776259376299969,0.021875622250808857,0.7586468616013068,1.0,0.013306700650607226,0.10109958787419306,0.6946686351759648,1.0,1,0.011721022975334805,
58,lasso,40,125,123,0.0005088280943978105,0.017680323001695825,0.8705680507808742,0.872,0.00897269303840912,0.07760122991867668,0.6929890936192672,0.6910569105691057,11,0.00032903445623126676,
69,elastic_net,40,114,112,0.0004929845895831769,0.01808468183736433,0.8661741822396792,0.9649122807017544,0.010816679780924722,0.08804919871246718,0.6927809680591906,0.8660714285714286,25,0.000221221629107045,0.5
70,lasso,40,113,111,0.0004928879732946265,0.01803938643775484,0.8643520111122704,0.9823008849557522,0.01096042212972962,0.08966661291788959,0.6902661691731566,0.8558558558558559,17,0.0001,
54,lasso,40,129,127,0.0005280756071183791,0.0184296537074883,0.8584197317562889,0.8914728682170543,0.008263666615537861,0.07350511134939608,0.6898796080040359,0.6850393700787402,15,0.0001,
63,ridge,40,120,118,0.0005405288073595619,0.01887515760403668,0.8620521022567587,0.8833333333333333,0.009777305470811331,0.08172835089844024,0.6893962566712398,0.7796610169491526,38,1.3738237958832638,
96,ridge,40,87,85,0.0005064234726503456,0.01699129345445776,0.8133208923394092,1.0,0.012859245381977491,0.10052712758338923,0.6881494132007238,0.9882352941176471,38,10.0,
42,ols,40,141,139,0.0006307115739805638,0.019370116995159233,0.8305633600317025,0.8794326241134752,0.0059793837522151665,0.06195610054968597,0.6872667985432985,0.6258992805755396,38,,
67,elastic_net,40,116,114,0.0005110615788953938,0.018029005067075346,0.8667888254697517,0.9482758620689655,0.010673488042042881,0.0861390739380588,0.6849457798091414,0.8508771929824561,18,0.00032903445623126676,0.5
41,ridge,40,142,140,0.0006911979491003645,0.021137716378012286,0.8114963625982462,0.823943661971831,0.00602923637277715,0.06317676783617181,0.6820544474729444,0.5857142857142857,38,0.28072162039411785,
66,lasso,40,117,115,0.000526706285929529,0.018580657440911356,0.8645532862090427,0.9230769230769231,0.010561947276928708,0.08505775226667962,0.680995979932488,0.8347826086956521,13,0.00014873521072935117,
84,lasso,40,99,97,0.0004111939245988545,0.015862746829620293,0.8822134917206752,1.0,0.011617968747161344,0.09298867759085265,0.6791019688326004,0.9278350515463918,17,0.0001,
64,lasso,40,119,117,0.0005435443599003979,0.019041844817066018,0.8599386557364084,0.907563025210084,0.010047587134103898,0.08333920667425161,0.6790933109586653,0.811965811965812,15,0.0001,
86,lasso,40,97,95,0.0004342701785590965,0.01769661992521381,0.8739649016566671,1.0,0.011763915608372704,0.09313470639551949,0.6711009440472248,0.9578947368421052,17,0.0001,
85,lasso,40,98,96,0.00042409354533698565,0.016788379852898654,0.8782760836389855,1.0,0.011883702250237485,0.093740986877501,0.6670725061601137,0.9270833333333334,18,0.0001,
81,lasso,40,102,100,0.00035861299911117917,0.01508787994656884,0.8980158567606955,0.9901960784313726,0.011443945945788594,0.09279203877992756,0.6625305028897105,0.95,16,0.0001,
39,ridge,40,144,142,0.0006842789044721829,0.02132839152079908,0.8078057336334195,0.8125,0.005831503183663717,0.061194926631902895,0.6587789334077551,0.5352112676056338,38,0.4175318936560405,
40,ridge,40,143,141,0.0007041204042690541,0.021688241287657638,0.8065911406412744,0.8181818181818182,0.006154129046141361,0.06314699408233775,0.6501075306164783,0.574468085106383,38,1.3738237958832638,
56,elastic_net,40,127,125,0.0004360274971226297,0.016975065470284028,0.8846010310834257,0.8740157480314961,0.009084907652806711,0.07772380043983337,0.6490425624920645,0.696,21,0.00014873521072935117,0.7
62,lasso,40,121,119,0.0005020740774752338,0.018327175918295916,0.8727271073793521,0.9090909090909091,0.009704593515264476,0.08445853727655286,0.6379681879164653,0.7983193277310925,16,0.0001,
38,elastic_net,40,145,143,0.0006950036042640513,0.021825772593278458,0.8028689785668515,0.7931034482758621,0.0059220394933937855,0.06186943780755316,0.628165273785837,0.5104895104895105,23,0.0004893900918477494,0.7
82,lasso,40,101,99,0.00036106758838202476,0.015158334998012358,0.8971369579322112,0.9900990099009901,0.011673267545886714,0.09346910267293841,0.6263426009374826,0.9595959595959596,16,0.0001,
37,lasso,40,146,144,0.0006907873452781198,0.021658300769607813,0.7988024747094402,0.7945205479452054,0.005793690926371777,0.06166812355485369,0.6214481557457252,0.5416666666666666,15,0.00014873521072935117,
83,lasso,40,100,98,0.00037181040893677873,0.01510836175096568,0.8951415560139521,0.99,0.011857274530427422,0.09483454018546078,0.620293278358535,0.9489795918367347,16,0.0001,
60,lasso,40,123,121,0.0004968229792670501,0.017927979917922787,0.877625199152584,0.8943089430894309,0.009749508119278142,0.08317540922473163,0.6186082639038374,0.7272727272727273,14,0.00014873521072935117,
59,lasso,40,124,122,0.00046336630390005307,0.016632669732163242,0.8855733368646297,0.8951612903225806,0.009666244382676301,0.0828615296202538,0.6157823542226506,0.7049180327868853,14,0.00014873521072935117,
36,lasso,40,147,145,0.0007118810464211752,0.02150662247717263,0.7890673294624271,0.8367346938775511,0.005661767638198324,0.06046486564905656,0.6085483757243305,0.5655172413793104,14,0.00032903445623126676,
35,elastic_net,40,148,146,0.0007234128717914062,0.021807869803081185,0.7806684349802646,0.8378378378378378,0.005497604237387831,0.05974776709678443,0.6029470070720515,0.5753424657534246,24,0.00032903445623126676,0.7
61,elastic_net,40,122,120,0.0004944166780912624,0.017844949195925035,0.8766487451517065,0.9098360655737705,0.009907174700495059,0.08514236412087822,0.5944926968712323,0.775,26,0.00014873521072935117,0.7
34,lasso,40,149,147,0.0006614589480665376,0.020708464258357803,0.7923509554288054,0.8657718120805369,0.0053677089183644215,0.059433990103957404,0.5901088729458126,0.564625850340136,14,0.00014873521072935117,
32,lasso,40,151,149,0.0006200687186595402,0.020690447902923313,0.7779184865776217,0.8543046357615894,0.004813845608456837,0.05661990206729068,0.5866133879857766,0.5436241610738255,15,0.000221221629107045,
33,elastic_net,40,150,148,0.0006255395355745496,0.02049256050689641,0.7912239405280197,0.8533333333333334,0.005159478920238453,0.05845456248445223,0.5807558572980669,0.5337837837837838,25,0.00032903445623126676,0.3
31,lasso,40,152,150,0.0005782237186716119,0.019665550980970697,0.7788081258660016,0.868421052631579,0.004702050668877461,0.055234870786025334,0.5591801573052329,0.5066666666666667,13,0.00014873521072935117,
30,lasso,40,153,151,0.0005927222019901268,0.019841981753964025,0.754438598030672,0.8235294117647058,0.004404247254949903,0.05334317704882954,0.5439901506915155,0.543046357615894,14,0.0004893900918477494,
29,lasso,40,154,152,0.0006285928757118031,0.02079767591372041,0.7188724507917638,0.7857142857142857,0.004152914187286796,0.051366440864754725,0.5238148709110743,0.5263157894736842,8,0.001082636733874054,
105,elastic_net,40,78,76,0.0002663802690028597,0.012781059841844971,0.856990368814022,1.0,0.013121764332327791,0.09995068748458677,0.4962522764197856,1.0,24,0.000221221629107045,0.5
28,lasso,40,155,153,0.0006333754258967022,0.020526850523470808,0.6936358684814001,0.7612903225806451,0.003955839341123511,0.05050560519162594,0.49476359896523886,0.49019607843137253,7,0.0016102620275609393,
27,elastic_net,40,156,154,0.0005998166942187797,0.019913668288356872,0.6897081707342831,0.7756410256410257,0.004017663384133499,0.05033612040009117,0.43283104420501967,0.4935064935064935,9,0.002395026619987486,0.5
106,lasso,40,77,75,0.00021353343501337863,0.01169085372945022,0.8754141969776592,1.0,0.013544494869487415,0.09995663692115798,0.3703320246038779,1.0,17,0.0001,
26,lasso,40,157,155,0.0005766311628032207,0.019809626574275114,0.6818282100301849,0.7770700636942676,0.004076496084837684,0.04981844871471811,0.3677075925096912,0.6709677419354839,6,0.001082636733874054,
25,lasso,40,158,156,0.0005667800090787839,0.019518984619850396,0.6723175764602699,0.759493670886076,0.004172251823908713,0.04991283291769244,0.31057106239835536,0.6602564102564102,9,0.0007278953843983154,
107,ols,40,76,74,0.00013328905834515564,0.009242417410116308,0.9183246718029542,1.0,0.01420803767091828,0.10231577102888378,0.3084059986368185,1.0,34,,
24,ols,40,159,157,0.0004765775967690505,0.01753849945325119,0.7149950887995674,0.7987421383647799,0.00451413270205561,0.05088150046203661,0.28242549079490337,0.5923566878980892,38,,
122,lasso,40,61,59,0.00015016846070409738,0.009678980261328081,0.9210120979554317,1.0,0.01622976081122411,0.11834980922249609,0.27654074054439026,1.0,10,0.00032903445623126676,
111,ols,40,72,70,0.00012768940395236565,0.009137639758878055,0.9090937492525071,1.0,0.013465690209694554,0.10187304355528443,0.266508910056482,1.0,34,,
121,lasso,40,62,60,0.00017688100436482351,0.010551436474504183,0.9004442872908248,1.0,0.015651896145635395,0.1160236854035004,0.26499669506917534,1.0,10,0.000221221629107045,
124,lasso,40,59,57,0.00030008784375090583,0.014140726202171506,0.8716532711625805,1.0,0.01653449068936551,0.12054692887589763,0.264606623140568,1.0,4,0.003562247890262444,
114,ridge,40,69,67,0.0001490300834858104,0.009660742236878737,0.9006519124397077,1.0,0.013644454325239993,0.10538198147684234,0.2544651214299484,1.0,34,0.02592943797404667,
23,ols,40,160,158,0.0004611082445435389,0.016745073904920173,0.7142502524357548,0.825,0.004382261204661242,0.050884374923149685,0.2519952791060553,0.569620253164557,38,,
123,elastic_net,40,60,58,0.00016119374743650346,0.009883963138859064,0.9209285470326095,1.0,0.016480173257427417,0.11919353425515435,0.2514015691796219,1.0,12,0.0004893900918477494,0.7
120,ols,40,63,61,0.00015589803383145697,0.009637691912852993,0.9074542779387915,1.0,0.015653194183544657,0.11465708999847163,0.25040223452816607,1.0,30,,
112,ols,40,71,69,0.00012601478462421288,0.008829094710314027,0.9111085942747935,1.0,0.01378935690927138,0.10403519142211555,0.2363567235857368,1.0,34,,
113,ols,40,70,68,0.0001560231054696289,0.00980766157129895,0.894587046224509,1.0,0.014119711827123448,0.1059329354431206,0.23508142472524246,1.0,34,,
22,lasso,40,161,159,0.0005140720794678171,0.018311056191458466,0.6673266472816775,0.7701863354037267,0.003939773685499186,0.047829822674814476,0.22641845024116486,0.5786163522012578,12,0.00032903445623126676,
108,ols,40,75,73,0.00011643917968632081,0.008519398835380878,0.9246207887309359,1.0,0.014302008998942687,0.10266679267380897,0.2137114537030836,1.0,34,,
125,ridge,40,58,56,0.00026337313742040943,0.0134615499782999,0.8725761108433335,1.0,0.016389299814542183,0.11947768422258633,0.21179628234978579,1.0,30,10.0,
109,ols,40,74,72,0.00013301037728236843,0.008788191809410326,0.9129620822978577,1.0,0.013630977962006382,0.09894134918163555,0.20664454399816465,1.0,34,,
110,ols,40,73,71,0.0001422650848655235,0.008989535049107619,0.9023562339583584,1.0,0.01363448030940777,0.10092685865754392,0.20446889908641314,1.0,34,,
21,lasso,40,162,160,0.0004964547620577626,0.018145023370128004,0.6797442835506574,0.7839506172839507,0.003978619571361175,0.04723194452741335,0.19756348782290364,0.6125,14,0.00014873521072935117,
126,lasso,40,57,55,0.00022777708551441187,0.012278934491335098,0.8851237075967823,1.0,0.016667728487071643,0.11972045432027931,0.1926152769598502,1.0,11,0.00032903445623126676,
20,lasso,40,163,161,0.0005056162620340206,0.018413203351361,0.6708814311116201,0.7975460122699386,0.0037819370572474286,0.04606972627859001,0.1660219062591328,0.6149068322981367,13,0.000221221629107045,
118,ols,40,65,63,0.00016893342596617283,0.010089576339316562,0.8875558409440496,1.0,0.014674040822884152,0.11002744603887565,0.1475968398234623,1.0,30,,
19,lasso,40,164,162,0.0005007989452391789,0.0186701072617354,0.6730085776444846,0.8170731707317073,0.0036763533854157486,0.04525167787806572,0.13651399014412424,0.6172839506172839,14,0.000221221629107045,
119,ols,40,64,62,0.0001526359584503317,0.010149836131859232,0.9033548148133902,1.0,0.014933346066283736,0.11190882482905193,0.13592220288643078,1.0,30,,
2,lasso,40,181,179,0.0001744273297121505,0.010496649381000318,0.31528437865357384,0.6132596685082873,0.0003137940020350597,0.013636480610252572,0.1331093069151986,0.49162011173184356,5,0.001082636733874054,
4,ols,40,179,177,0.00021644879338869776,0.011573050080243808,0.5965691550604368,0.7486033519553073,0.001208030373601105,0.02651392798805473,0.13206105298781576,0.5536723163841808,38,,
117,ols,40,66,64,0.00020247039828278688,0.010627383974122459,0.8717415184735833,1.0,0.014174110102990491,0.10690366566615417,0.13064250818789536,1.0,30,,
18,lasso,40,165,163,0.0004905224076355549,0.018476428923473714,0.6802459289590275,0.806060606060606,0.003555903776629913,0.04544930952198386,0.12174528724332069,0.5828220858895705,12,0.000221221629107045,
115,ols,40,68,66,0.00010102332587825594,0.00810111613663529,0.9363332537747602,1.0,0.014408371189256334,0.10865322348408683,0.1190137350338776,1.0,34,,
1,lasso,40,182,180,9.639451735521234e-05,0.007524630204640276,0.2499950070714134,0.6318681318681318,0.0001769868970722537,0.009837571766611007,0.11635736702577988,0.48333333333333334,7,0.0004893900918477494,
