Date,predicted_future_return,portfolio_weight,active_anchor_date,active_model_name,active_target_horizon_days,prediction_scale,price
2021-08-19,-0.012987040734865563,0.0,2021-06-30,ols,45,0.06930792589788344,166.61
2021-08-20,0.001626695878863868,0.023470560657962856,2021-06-30,ols,45,0.06930792589788344,166.7
2021-08-23,-0.008837228427503771,0.0,2021-06-30,ols,45,0.06930792589788344,168.73
2021-08-24,-0.037935290386201095,0.0,2021-06-30,ols,45,0.06930792589788344,168.65
2021-08-25,-0.026643593841981394,0.0,2021-06-30,ols,45,0.06930792589788344,167.48
2021-08-26,-0.022077619538151932,0.0,2021-06-30,ols,45,0.06930792589788344,167.67
2021-08-27,-0.044239468015075056,0.0,2021-06-30,ols,45,0.06930792589788344,170.19
2021-08-30,0.01922378665895838,0.2773677961057762,2021-06-30,ols,45,0.06930792589788344,169.35
2021-08-31,0.016786705366266752,0.2422046995173375,2021-06-30,ols,45,0.06930792589788344,169.69
2021-09-01,0.010691102679243461,0.15425512364914026,2021-06-30,ols,45,0.06930792589788344,169.7
2021-09-02,-0.020941559271507613,0.0,2021-06-30,ols,45,0.06930792589788344,169.25
2021-09-03,-0.04146517915967449,0.0,2021-06-30,ols,45,0.06930792589788344,171.06
2021-09-07,-0.023619158485036512,0.0,2021-06-30,ols,45,0.06930792589788344,167.71
2021-09-08,-0.011562802687004527,0.0,2021-06-30,ols,45,0.06930792589788344,167.29
2021-09-09,-0.05437628554772997,0.0,2021-06-30,ols,45,0.06930792589788344,168.03
2021-09-10,-0.025177444264409474,0.0,2021-06-30,ols,45,0.06930792589788344,167.18
2021-09-13,-0.030515568291230845,0.0,2021-06-30,ols,45,0.06930792589788344,167.74
2021-09-14,-0.05613246747026071,0.0,2021-06-30,ols,45,0.06930792589788344,168.82
2021-09-15,-0.020916274405688787,0.0,2021-06-30,ols,45,0.06930792589788344,167.83
2021-09-16,-0.015078110057820372,0.0,2021-06-30,ols,45,0.06930792589788344,164.03
2021-09-17,-0.010104484822506019,0.0,2021-06-30,ols,45,0.06930792589788344,163.77
2021-09-20,-0.014883930812332961,0.0,2021-06-30,ols,45,0.06930792589788344,164.94
2021-09-21,-0.023533906808866856,0.0,2021-06-30,ols,45,0.06930792589788344,166.04
2021-09-22,-0.029929962429176865,0.0,2021-06-30,ols,45,0.06930792589788344,165.42
2021-09-23,-0.015717743158992888,0.0,2021-06-30,ols,45,0.06930792589788344,163.51
2021-09-24,-0.03880245190811249,0.0,2021-06-30,ols,45,0.06930792589788344,163.3
2021-09-27,-0.013685241553437658,0.0,2021-06-30,ols,45,0.06930792589788344,163.64
2021-09-28,-0.013860871135151345,0.0,2021-06-30,ols,45,0.06930792589788344,162.05
2021-09-29,-0.007543806282504173,0.0,2021-06-30,ols,45,0.06930792589788344,161.32
2021-09-30,-0.04055662574254412,0.0,2021-06-30,ols,45,0.06930792589788344,164.22
2021-10-01,-0.019614403010151542,0.0,2021-06-30,ols,45,0.06930792589788344,164.59
2021-10-04,0.011476384568589681,0.16558545678453426,2021-06-30,ols,45,0.06930792589788344,165.36
2021-10-05,-0.002685580875972135,0.0,2021-06-30,ols,45,0.06930792589788344,164.59
2021-10-06,0.025681988148730572,0.37054907957525335,2021-06-30,ols,45,0.06930792589788344,165.03
2021-10-07,-0.014194294962103442,0.0,2021-06-30,ols,45,0.06930792589788344,164.16
2021-10-08,-0.019041839303266965,0.0,2021-06-30,ols,45,0.06930792589788344,164.23
2021-10-11,-0.0010952640908623301,0.0,2021-06-30,ols,45,0.06930792589788344,163.92
2021-10-12,-0.04103017922274185,0.0,2021-06-30,ols,45,0.06930792589788344,164.66
2021-10-13,-0.08509837600592392,0.0,2021-06-30,ols,45,0.06930792589788344,167.59
2021-10-14,-0.022922560154453653,0.0,2021-06-30,ols,45,0.06930792589788344,168.0
2021-10-15,-0.022498324077177473,0.0,2021-06-30,ols,45,0.06930792589788344,165.33
2021-10-18,0.0037936015381352245,0.054735464796978946,2021-06-30,ols,45,0.06930792589788344,164.92
2021-10-19,-0.02768311011393225,0.0,2021-06-30,ols,45,0.06930792589788344,165.45
2021-10-20,0.0076771983031720115,0.11076941350810877,2021-06-30,ols,45,0.06930792589788344,166.9
2021-10-21,-0.009571690162993418,0.0,2021-06-30,ols,45,0.06930792589788344,166.75
2021-10-22,0.012796224424726721,0.18462858697546883,2021-06-30,ols,45,0.06930792589788344,167.77
2021-10-25,-0.02583406557845013,0.0,2021-06-30,ols,45,0.06930792589788344,168.93
2021-10-26,-0.05155577563409838,0.0,2021-06-30,ols,45,0.06930792589788344,167.68
2021-10-27,-0.04125671368213259,0.0,2021-06-30,ols,45,0.06930792589788344,168.12
2021-10-28,0.011512535418693334,0.16610705441763782,2021-06-30,ols,45,0.06930792589788344,168.08
2021-10-29,-0.027307915263194822,0.0,2021-06-30,ols,45,0.06930792589788344,166.65
2021-11-01,-0.04839641192331392,0.0,2021-06-30,ols,45,0.06930792589788344,167.52
2021-11-02,-0.0298405101112328,0.0,2021-06-30,ols,45,0.06930792589788344,167.16
2021-11-03,-0.03269438973408689,0.0,2021-06-30,ols,45,0.06930792589788344,165.77
2021-11-04,-0.05672368496965355,0.0,2021-06-30,ols,45,0.06930792589788344,167.65
2021-11-05,-0.06416176248869003,0.0,2021-06-30,ols,45,0.06930792589788344,169.84
2021-11-08,-0.062119738535170235,0.0,2021-06-30,ols,45,0.06930792589788344,170.45
2021-11-09,-0.0851019808025544,0.0,2021-06-30,ols,45,0.06930792589788344,171.29
2021-11-10,-0.08198458658899058,0.0,2021-06-30,ols,45,0.06930792589788344,173.15
2021-11-11,-0.06944619413566613,0.0,2021-06-30,ols,45,0.06930792589788344,174.12
2021-11-12,-0.08852850702857495,0.0,2021-06-30,ols,45,0.06930792589788344,174.45
2021-11-15,-0.031139571875489117,0.0,2021-06-30,ols,45,0.06930792589788344,174.18
2021-11-16,-0.06484991016863616,0.0,2021-06-30,ols,45,0.06930792589788344,172.92
2021-11-17,-0.04322281458487028,0.0,2021-06-30,ols,45,0.06930792589788344,174.5
2021-11-18,-0.0659221723439799,0.0,2021-06-30,ols,45,0.06930792589788344,173.94
2021-11-19,-0.06763642615127861,0.0,2021-06-30,ols,45,0.06930792589788344,172.61
2021-11-22,-0.06582972290774101,0.0,2021-06-30,ols,45,0.06930792589788344,168.74
2021-11-23,-0.05973553172661775,0.0,2021-06-30,ols,45,0.06930792589788344,167.28
2021-11-24,-0.05255196723116852,0.0,2021-06-30,ols,45,0.06930792589788344,167.12
2021-11-26,-0.053565306925916156,0.0,2021-06-30,ols,45,0.06930792589788344,166.85
2021-11-29,-0.04390610287584695,0.0,2021-06-30,ols,45,0.06930792589788344,166.62
2021-11-30,-0.04662001988189929,0.0,2021-06-30,ols,45,0.06930792589788344,165.5
2021-12-01,-0.04059304062245782,0.0,2021-06-30,ols,45,0.06930792589788344,166.16
2021-12-02,-0.03457833701979751,0.0,2021-06-30,ols,45,0.06930792589788344,165.24
2021-12-03,-0.05529284454411886,0.0,2021-06-30,ols,45,0.06930792589788344,166.63
2021-12-06,-0.033028174810371104,0.0,2021-06-30,ols,45,0.06930792589788344,166.22
2021-12-07,-0.034123792123276195,0.0,2021-06-30,ols,45,0.06930792589788344,166.81
2021-12-08,-0.010224845248595786,0.0,2021-06-30,ols,45,0.06930792589788344,166.9
2021-12-09,-0.01692759998735288,0.0,2021-06-30,ols,45,0.06930792589788344,165.88
2021-12-10,-0.010403130807689925,0.0,2021-06-30,ols,45,0.06930792589788344,166.58
2021-12-13,5.0328104016436614e-05,0.000726152216567392,2021-06-30,ols,45,0.06930792589788344,167.0
2021-12-14,-0.001254054328020393,0.0,2021-06-30,ols,45,0.06930792589788344,165.44
2021-12-15,-0.007337793720268687,0.0,2021-06-30,ols,45,0.06930792589788344,166.15
2021-12-16,-0.07401951349760265,0.0,2021-06-30,ols,45,0.06930792589788344,168.16
2021-12-17,-0.03875845865494526,0.0,2021-06-30,ols,45,0.06930792589788344,167.8
2021-12-20,-0.019648484480358476,0.0,2021-06-30,ols,45,0.06930792589788344,167.09
2021-12-21,-0.02376691888268788,0.0,2021-06-30,ols,45,0.06930792589788344,167.02
2021-12-22,-0.021639621908483224,0.0,2021-06-30,ols,45,0.06930792589788344,168.59
2021-12-23,-0.024855049359203463,0.0,2021-06-30,ols,45,0.06930792589788344,168.97
2021-12-27,-0.00876324819582544,0.0,2021-06-30,ols,45,0.06930792589788344,169.37
2021-12-28,-0.018323881915264822,0.0,2021-06-30,ols,45,0.06930792589788344,168.64
2021-12-29,-0.009623617756208347,0.0,2021-06-30,ols,45,0.06930792589788344,168.59
2021-12-30,-0.018558533619387578,0.0,2021-06-30,ols,45,0.06930792589788344,169.8
2021-12-31,-0.02984824842097962,0.0,2021-06-30,ols,45,0.06930792589788344,170.96
