target_horizon_days,selection_rows,evaluation_rows,selection_correlation,selection_directional_accuracy,selection_long_short_strategy_return,evaluation_correlation,evaluation_directional_accuracy,evaluation_long_short_strategy_return
18,213,211,0.19492358607272137,0.7183098591549296,108.7417906273753,-0.00041491713649834263,0.7867298578199052,1288.8918826254262
16,215,213,0.2266987988063362,0.7069767441860465,69.84795449190855,-0.003134717399811886,0.7370892018779343,558.5430866600894
10,221,219,0.14527095650421185,0.6289592760180995,11.501894260806361,-0.004679120676331057,0.726027397260274,63.29741617651108
14,217,215,0.16518631621415955,0.7096774193548387,38.0076199595288,-0.008249856960661455,0.7581395348837209,306.80163418929135
25,206,204,0.11014947926895591,0.7621359223300971,530.5788477314123,-0.016515739333145013,0.8431372549019608,16507.47936976297
19,212,210,0.1957951836293934,0.7264150943396226,141.5641070022298,-0.016661959011273462,0.780952380952381,1871.069597813531
9,222,220,0.18725288077505994,0.6306306306306306,8.715287280893074,-0.019026065107134085,0.7,39.386623164044025
20,211,209,0.192026705011816,0.7298578199052133,182.6969131110556,-0.03477925639824159,0.784688995215311,2519.706297335011
21,210,208,0.1691055623201089,0.7380952380952381,230.8377133483092,-0.04711332949000201,0.7740384615384616,3612.538957564964
24,207,205,0.10771861016805115,0.7632850241545893,437.32016997450705,-0.04876700995446163,0.824390243902439,11689.755386143468
22,209,207,0.11860662407264318,0.7320574162679426,289.4802000980118,-0.0655641655604005,0.7922705314009661,5616.248437081052
23,208,206,0.10589159318108653,0.7644230769230769,357.6846387842433,-0.08112140811668969,0.8252427184466019,8117.105457636256
