Date,Price,Price_Norm,MA,Sigma,Upper,Lower,UpperBreak,LowerBreak
2024-05-17,2412.199951171875,0.6472755020130287,0.5327227870019542,0.04622465415784383,0.6251720953176418,0.4772532020125416,1,0
2024-05-20,2433.89990234375,0.6795605810740447,0.5402882209932091,0.05618318527783329,0.6526545915488756,0.4728683986598091,1,0
2024-05-21,2421.699951171875,0.6614095546037633,0.5472808575380987,0.061835499130174394,0.6709518557984475,0.47307825858188945,0,0
2024-05-22,2389.199951171875,0.6130562167933559,0.5520938707616841,0.06301045372271591,0.678114778207116,0.4764813262944251,0,0
2024-05-23,2335.0,0.5324177999219324,0.5524806938318554,0.06286455828398302,0.6782098103998214,0.4770432238910758,0,0
2024-05-24,2332.5,0.5286983123980549,0.552309593773445,0.06292436922302416,0.6781583322194933,0.47680035070581606,0,0
2024-05-28,2355.199951171875,0.5624711864686219,0.5530386169604371,0.06295340613936602,0.6789454292391691,0.4774945295931979,0,0
2024-05-29,2340.300048828125,0.5403031861187934,0.5566762866557253,0.059938229084928935,0.6765527448255833,0.4847504117538106,0,0
2024-05-30,2342.89990234375,0.544171235204904,0.55987504592626,0.05742574970373766,0.6747265453337353,0.49096414628177487,0,0
2024-05-31,2322.89990234375,0.5144153350138839,0.5616380793802659,0.05542696744890163,0.6724920142780692,0.49512571844158393,0,0
2024-06-03,2346.60009765625,0.5496763673252054,0.5651790387676214,0.052193204407856485,0.6695654475833344,0.5025471934781937,0,0
2024-06-04,2325.5,0.518283747331198,0.5654691515298598,0.05191486557413028,0.6692988826781203,0.5031713128409034,0,0
2024-06-05,2354.10009765625,0.5608348298968379,0.5683629237203724,0.049924739940741654,0.6682124036018557,0.5084532357914825,0,0
2024-06-06,2370.300048828125,0.5849370364053234,0.5725808189401376,0.0475256978665107,0.667632214673159,0.5155499815003247,0,0
2024-06-07,2305.199951171875,0.48808143599107195,0.5705797237553554,0.050127662559329496,0.6708350488740144,0.5104265286841599,0,1
2024-06-10,2307.699951171875,0.4918009235149495,0.5661460873622693,0.052901189969347354,0.671948467300964,0.5026646593990525,0,1
2024-06-11,2307.5,0.49150343715927997,0.5640185332339873,0.0549644634231915,0.6739474600803703,0.4980611771261575,0,1
2024-06-12,2336.0,0.5339055949314834,0.562724158840302,0.05535217760325721,0.6734285140468165,0.4963015457163934,0,0
2024-06-13,2300.199951171875,0.480642460943317,0.5561406659230388,0.056872156281270195,0.6698849784855792,0.4878940783855146,0,1
2024-06-14,2331.39990234375,0.5270615925950675,0.5525253167852059,0.056304692773291115,0.6651347023317882,0.48495968545725654,0,0
2024-06-17,2312.39990234375,0.49879348741359847,0.5451012160552343,0.05301487292252553,0.6511309619002854,0.48148336854820367,0,0
2024-06-18,2330.39990234375,0.5255737975855165,0.537401876880808,0.04320181580454828,0.6238055084899046,0.48555969791535003,0,0
2024-06-20,2353.800048828125,0.5603884187477319,0.5323508200880063,0.03314223231352944,0.5986352847150651,0.49258014131177097,0,0
2024-06-21,2316.39990234375,0.5047446674518025,0.5269352426209287,0.027955607911871294,0.5828464584446713,0.4933885131266832,0,0
2024-06-24,2330.0,0.5249788248741775,0.526563293868541,0.027929663883404083,0.5824226216353491,0.49304769720845604,0,0
2024-06-25,2316.60009765625,0.5050425170386754,0.5253805041005719,0.028312477983509023,0.5820054600675899,0.49140553052036107,0,0
2024-06-26,2299.199951171875,0.479154665933766,0.5212146780738292,0.028675734914146142,0.5785661479021215,0.48680379617685376,0,1
2024-06-27,2324.5,0.516795952321647,0.5200393163839718,0.028349144566616222,0.5767376055172043,0.48602034290403234,0,0
2024-06-28,2327.699951171875,0.5215568237059695,0.5189085958090252,0.02780994668755956,0.5745284891841442,0.48553665978395366,0,0
2024-07-01,2327.60009765625,0.5214082621437365,0.5192582421655179,0.027795212342252133,0.5748486668500221,0.4859039873548153,0,0
2024-07-02,2323.0,0.5145642598073205,0.5175026367896235,0.026913383947813757,0.5713294046852511,0.485206576052247,0,0
2024-07-03,2359.800048828125,0.5693151888050378,0.5200542088633154,0.029189317157288917,0.5784328431778932,0.48502702827456873,0,0
2024-07-05,2388.5,0.6120148329329108,0.5226132090151191,0.03442604567331786,0.5914653003617548,0.48130195420713767,1,0
2024-07-08,2355.199951171875,0.5624711864686219,0.521489916518284,0.032697259517793134,0.5868844355538703,0.48225320509693226,0,0
2024-07-09,2360.10009765625,0.5697615999541439,0.5255739247164377,0.033363649373848295,0.5923012234641343,0.48553754546781974,0,0
2024-07-10,2372.199951171875,0.5877637016309889,0.5303720636222397,0.035020830939714157,0.6004137255016679,0.48834706649458265,0,0
2024-07-11,2415.0,0.6514414006860123,0.5383689617985763,0.04265980464046459,0.6236885710795055,0.4871771962300188,1,0
2024-07-12,2414.0,0.6499536056764613,0.5441713623358251,0.04906884587236771,0.6423090540805605,0.48528874728898386,1,0
2024-07-15,2422.89990234375,0.6631948359689838,0.5532989810871085,0.05320687464374935,0.6597127303746072,0.48945073151460927,1,0
2024-07-16,2462.39990234375,0.7219627388462482,0.5630440383996675,0.06421805430451957,0.6914801470087066,0.4859823732342441,1,0
2024-07-17,2454.800048828125,0.7106557147123828,0.5736371497646068,0.06996283423618639,0.7135628182369795,0.4896817486811831,0,0
2024-07-18,2451.800048828125,0.7061923296837297,0.5826680763695173,0.07467449386538787,0.7320170641002931,0.4930586837310519,0,0
2024-07-19,2395.5,0.6224293979997678,0.5857701253321193,0.07497257034400982,0.7357152660201389,0.4958030409193075,0,0
2024-07-22,2392.0,0.6172221154663393,0.591393997732846,0.07287292711386226,0.7371398519605705,0.5039464851962112,0,0
2024-07-23,2404.60009765625,0.6359684778791633,0.5969434803830953,0.0718224352356579,0.7405883508544111,0.5107565581003058,0,0
2024-07-24,2413.300048828125,0.6489122218160163,0.6041369656219624,0.06942236040659366,0.7429816864351497,0.52083013313405,0,0
2024-07-25,2351.89990234375,0.5575613902908629,0.6080573018398173,0.06427698295241943,0.7366112677446561,0.530924922296914,0,0
2024-07-26,2380.0,0.5993685753517274,0.6121859329913213,0.060842649062034036,0.7338712311153893,0.5391747541168804,0,0
2024-07-29,2377.300048828125,0.5953516014721804,0.6158756718796318,0.05737335387803249,0.7306223796356968,0.5470276472259927,0,0
2024-07-30,2405.0,0.6365634505905023,0.62163343130197,0.0532329275537,0.72809928640937,0.5577539182375301,0,0
2024-07-31,2426.5,0.6685510432958488,0.6293327704763965,0.04807637147027145,0.7254855134169393,0.5716411247120707,0,0
2024-08-01,2435.0,0.6811973008770322,0.6349268760799962,0.04726980480648667,0.7294664856929696,0.5782031103122122,0,0
2024-08-02,2425.699951171875,0.6673607346419672,0.637694171165449,0.04746710647759768,0.7326283841206443,0.5807336433923318,0,0
2024-08-05,2401.699951171875,0.6316536544127433,0.6411532945626551,0.04427256694021195,0.729698428443079,0.5880262142344008,0,0
2024-08-06,2389.10009765625,0.6129076552311228,0.6433105973265041,0.04171880070626736,0.7267481987390388,0.5932480364789833,0,0
2024-08-07,2390.5,0.6149904229520128,0.6446719333925552,0.04030426564576244,0.7252804646840801,0.5963068146176403,0,0
2024-08-08,2422.199951171875,0.6621534521085387,0.6452075359636815,0.040461535432914524,0.7261306068295106,0.5966536934441841,0,0
2024-08-09,2432.10009765625,0.6768828406418157,0.6465539977119493,0.04104099021449361,0.7286359781409365,0.597304809454557,0,0
2024-08-12,2462.39990234375,0.7219627388462482,0.6494923928558125,0.04411583331234766,0.7377240594805078,0.5965533928809953,0,0
2024-08-13,2466.699951171875,0.7283603300335582,0.649812272415178,0.04465998711649293,0.7391322466481639,0.5962202878753865,0,0
2024-08-14,2439.39990234375,0.6877434536265752,0.6486666593608876,0.04335948018428122,0.73538561972945,0.5966352831397501,0,0
