Date,combined_score,adaptive_band_rank01_score,ma_crossover_rank01_score,adaptive_volatility_band_rank01_score,fear_greed_candle_volume_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_model_name,active_hold_days,prediction_scale,price
2020-05-28,-1.0,-1.0,0.39076769311734005,0.340080000708885,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,161.72
2020-05-29,-1.0,-1.0,0.33168375943637163,1.0,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,162.91
2020-06-01,-0.7868277415108038,-0.7868277415108038,0.2027251137675314,0.9969094779353611,0,-0.7868277415108038,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,163.66
2020-06-02,-1.0,-1.0,0.08544173643081782,-1.0,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,162.6
2020-06-03,-1.0,-1.0,-0.14629465016208196,-1.0,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,159.6
2020-06-04,-1.0,-1.0,-0.3145246529482288,-1.0,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,161.28
2020-06-05,-1.0,-1.0,-0.36264091031711954,0.6843009034874069,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,158.01
2020-06-08,-1.0,-1.0,-0.39890500134886014,1.0,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,159.72
2020-06-09,-1.0,-1.0,-0.32867649335083576,1.0,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,161.26
2020-06-10,-0.23810487787597978,-0.23810487787597978,-0.17742869904783834,-1.0,0,-0.23810487787597978,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,163.57
2020-06-11,-1.0,-1.0,-0.06191430176146569,-0.5883944094931969,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,162.39
2020-06-12,-0.937704417788085,-0.937704417788085,-0.09039488057173327,0.8227225294708443,0,-0.937704417788085,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,162.62
2020-06-15,-0.9958118507720597,-0.9958118507720597,-0.12984313569404837,-0.9503070144548269,0,-0.9958118507720597,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,162.33
2020-06-16,-1.0,-1.0,-0.1965336835913758,1.0,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,162.25
2020-06-17,-0.9756104071148674,-0.9756104071148674,-0.08827210451134525,1.0,0,-0.9756104071148674,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,162.56
2020-06-18,-1.0,-1.0,-0.05572287158532515,1.0,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,162.24
2020-06-19,0.18532391884065394,0.18532391884065394,0.22412977237649553,0.07056308856474659,0,0.18532391884065394,0.18811453583051832,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,164.03
2020-06-22,0.9629133259486843,0.9629133259486843,0.45851962904488414,-1.0,0,0.9629133259486843,0.9774129237554287,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,165.09
2020-06-23,1.0,1.0,0.5982690530207332,0.5800779280981113,0,1.0,1.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,166.48
2020-06-24,0.08512448287177807,0.08512448287177807,0.4990292721973857,-1.0,0,0.08512448287177807,0.08640629166171443,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,165.9
2020-06-25,-0.32921504681389346,-0.32921504681389346,0.5200801347962877,1.0,0,-0.32921504681389346,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,165.8
2020-06-26,-0.16575980771043053,-0.16575980771043053,0.4263241921289111,-1.0,0,-0.16575980771043053,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,166.54
2020-06-29,-0.397744482118334,-0.397744482118334,0.41004957566591616,1.0,0,-0.397744482118334,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,166.63
2020-06-30,-0.1798347083349438,-0.1798347083349438,0.46559554924618757,-0.9945967995613173,0,-0.1798347083349438,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,167.37
2020-07-01,0.9276333572553234,0.9276333572553234,0.5628420046903443,-0.39504172200414356,0,0.9276333572553234,0.9276333572553234,2020-06-30,obj1_long_only_combination,130,1.0,166.62
2020-07-02,0.9511713604042702,0.9511713604042702,0.6503952054199432,0.8167231196460516,0,0.9511713604042702,0.9511713604042702,2020-06-30,obj1_long_only_combination,130,1.0,166.98
2020-07-06,1.0,1.0,0.6700251889168893,1.0,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,167.98
2020-07-07,1.0,1.0,0.6427516720229414,-0.5478892520085,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,169.04
2020-07-08,1.0,1.0,0.5584990879875054,0.9682257258724847,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,170.09
2020-07-09,1.0,1.0,0.5072526708937576,-1.0,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,169.63
2020-07-10,1.0,1.0,0.44245635368714764,-0.47010949455226947,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,169.19
2020-07-13,1.0,1.0,0.404933553374456,1.0,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,169.4
2020-07-14,1.0,1.0,0.41327195344395296,0.35245526251150944,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,170.19
2020-07-15,1.0,1.0,0.4339442369495455,1.0,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,170.34
2020-07-16,0.015050360670310637,0.015050360670310637,0.44558325371319046,-0.07966329661095937,0,0.015050360670310637,0.015050360670310637,2020-06-30,obj1_long_only_combination,130,1.0,168.73
2020-07-17,0.8147061670699984,0.8147061670699984,0.4591331538261118,1.0,0,0.8147061670699984,0.8147061670699984,2020-06-30,obj1_long_only_combination,130,1.0,170.12
2020-07-20,1.0,1.0,0.46052288717102796,1.0,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,170.94
2020-07-21,1.0,1.0,0.4455832537132053,0.29300224057687824,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,173.0
2020-07-22,1.0,1.0,0.44732042039433195,-1.0,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,175.63
2020-07-23,1.0,1.0,0.4738990706158292,-1.0,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,177.18
2020-07-24,1.0,1.0,0.5623208546860137,1.0,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,178.7
2020-07-27,1.0,1.0,0.7358638061322049,0.7109071989449323,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,182.23
2020-07-28,1.0,1.0,0.9314687744289196,-1.0,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,183.75
2020-07-29,1.0,1.0,1.0,-1.0,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,185.13
2020-07-30,1.0,1.0,1.0,0.14014401791677994,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,183.76
2020-07-31,1.0,1.0,1.0,1.0,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,185.43
2020-08-03,1.0,1.0,1.0,1.0,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,185.64
2020-08-04,1.0,1.0,1.0,-1.0,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,189.59
2020-08-05,1.0,1.0,1.0,0.1218536422028262,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,191.35
2020-08-06,1.0,1.0,1.0,0.7523289126137687,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,193.89
2020-08-07,1.0,1.0,1.0,-0.8373854050922919,0,1.0,1.0,2020-06-30,obj1_long_only_combination,130,1.0,190.81
2020-08-10,0.8881756810078543,0.8881756810078543,1.0,0.2987406572020213,0,0.8881756810078543,0.8881756810078543,2020-06-30,obj1_long_only_combination,130,1.0,190.15
2020-08-11,-1.0,-1.0,1.0,-1.0,0,-1.0,0.0,2020-06-30,obj1_long_only_combination,130,1.0,179.94
2020-08-12,-1.0,-1.0,0.9672544080604697,-0.8428961748367761,0,-1.0,0.0,2020-06-30,obj1_long_only_combination,130,1.0,179.1
2020-08-13,-0.7112307654677186,-0.7112307654677186,0.731173456093111,0.8237970337612577,0,-0.7112307654677186,0.0,2020-06-30,obj1_long_only_combination,130,1.0,183.33
2020-08-14,-1.0,-1.0,0.44714670372621185,1.0,0,-1.0,0.0,2020-06-30,obj1_long_only_combination,130,1.0,182.54
2020-08-17,-0.1769186198386511,-0.1769186198386511,0.3436115695300698,1.0,0,-0.1769186198386511,0.0,2020-06-30,obj1_long_only_combination,130,1.0,186.5
2020-08-18,0.15144281477366173,0.15144281477366173,0.116216450968463,-0.7502779646236818,0,0.15144281477366173,0.15144281477366173,2020-06-30,obj1_long_only_combination,130,1.0,188.18
2020-08-19,-1.0,-1.0,-0.25814296881785254,-1.0,0,-1.0,0.0,2020-06-30,obj1_long_only_combination,130,1.0,182.24
2020-08-20,-1.0,-1.0,-0.790584556588206,0.6749687095522222,0,-1.0,0.0,2020-06-30,obj1_long_only_combination,130,1.0,183.5
2020-08-21,-1.0,-1.0,-1.0,1.0,0,-1.0,0.0,2020-06-30,obj1_long_only_combination,130,1.0,182.03
2020-08-24,-1.0,-1.0,-1.0,1.0,0,-1.0,0.0,2020-06-30,obj1_long_only_combination,130,1.0,181.0
2020-08-25,-1.0,-1.0,-1.0,1.0,0,-1.0,0.0,2020-06-30,obj1_long_only_combination,130,1.0,181.22
2020-08-26,-1.0,-1.0,-0.588552071571256,-1.0,0,-1.0,0.0,2020-06-30,obj1_long_only_combination,130,1.0,183.36
2020-08-27,-1.0,-1.0,-0.25796925214976213,-1.0,0,-1.0,0.0,2020-06-30,obj1_long_only_combination,130,1.0,181.24
2020-08-28,-1.0,-1.0,0.06149570051247665,0.9481800302105152,0,-1.0,0.0,2020-06-30,obj1_long_only_combination,130,1.0,184.39
2020-08-31,-1.0,-1.0,0.1592981846608192,1.0,0,-1.0,0.0,2020-06-30,obj1_long_only_combination,130,1.0,184.83
2020-09-01,-1.0,-1.0,-0.5745803058827204,-0.7528640567365564,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,185.05
2020-09-02,-1.0,-1.0,-0.42692888148989305,-0.7740942362177518,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,182.62
2020-09-03,-1.0,-1.0,-0.3019930608498105,-0.3532987704621288,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,181.14
2020-09-04,-1.0,-1.0,-0.17145613243507893,-0.6948152400495368,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,181.64
2020-09-08,-1.0,-1.0,-0.0245826396776277,0.3521205795654734,0,-1.0,0.0,2020-08-31,obj1_long_only_combination,130,0.034003271595984874,181.29
