Date,adaptive_band_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2024-05-28,0.11376037649923341,0.11376037649923341,0.11737812231879076,2024-03-28,adaptive_band,130,0.9691787042756418,218.19
2024-05-29,0.3469655021645098,0.3469655021645098,0.35799951096101484,2024-03-28,adaptive_band,130,0.9691787042756418,216.16
2024-05-30,0.33373347519687546,0.33373347519687546,0.3443466862453461,2024-03-28,adaptive_band,130,0.9691787042756418,216.57
2024-05-31,0.4868230593417685,0.4868230593417685,0.5023047423494691,2024-03-28,adaptive_band,130,0.9691787042756418,215.3
2024-06-03,0.321377632833679,0.321377632833679,0.3315979100818921,2024-03-28,adaptive_band,130,0.9691787042756418,217.22
2024-06-04,0.5419408684585822,0.5419408684585822,0.5591753781503335,2024-03-28,adaptive_band,130,0.9691787042756418,215.27
2024-06-05,0.31459801614871546,0.31459801614871546,0.3246026917026041,2024-03-28,adaptive_band,130,0.9691787042756418,217.82
2024-06-06,0.18606055719141754,0.18606055719141754,0.19197755416064166,2024-03-28,adaptive_band,130,0.9691787042756418,219.43
2024-06-07,0.9839669324902184,0.9839669324902184,1.0,2024-03-28,adaptive_band,130,0.9691787042756418,211.6
2024-06-10,0.8091852287648661,0.8091852287648661,0.8349184987196413,2024-03-28,adaptive_band,130,0.9691787042756418,213.54
2024-06-11,0.7685559161126536,0.7685559161126536,0.7929971146931748,2024-03-28,adaptive_band,130,0.9691787042756418,214.15
2024-06-12,0.7324519102009074,0.7324519102009074,0.7557449487587921,2024-03-28,adaptive_band,130,0.9691787042756418,214.72
2024-06-13,0.9248140196319121,0.9248140196319121,0.9542244537070307,2024-03-28,adaptive_band,130,0.9691787042756418,212.97
2024-06-14,0.6711965579597629,0.6711965579597629,0.6925415870145548,2024-03-28,adaptive_band,130,0.9691787042756418,215.73
2024-06-17,0.8023744784153924,0.8023744784153924,0.8278911565799232,2024-03-28,adaptive_band,130,0.9691787042756418,214.61
2024-06-18,0.7362650055497328,0.7362650055497328,0.7596793060986754,2024-03-28,adaptive_band,130,0.9691787042756418,215.47
2024-06-20,0.4896700284240061,0.4896700284240061,0.5052422491990086,2024-03-28,adaptive_band,130,0.9691787042756418,218.16
2024-06-21,0.848384195281721,0.848384195281721,0.8753640495183994,2024-03-28,adaptive_band,130,0.9691787042756418,214.78
2024-06-24,0.7827358095990712,0.7827358095990712,0.8076279494647822,2024-03-28,adaptive_band,130,0.9691787042756418,215.63
2024-06-25,0.9087814063911929,0.9087814063911929,0.9376819799919257,2024-03-28,adaptive_band,130,0.9691787042756418,214.56
2024-06-26,1.0,1.0,1.0,2024-03-28,adaptive_band,130,0.9691787042756418,212.58
2024-06-27,0.899078909827105,0.899078909827105,0.927670929892203,2024-03-28,adaptive_band,130,0.9691787042756418,214.99
2024-06-28,0.9152451059568619,0.9152451059568619,0.9443512346269624,2024-03-28,adaptive_band,130,0.9691787042756418,215.01
2024-07-01,-1.0,-1.0,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,215.57
2024-07-02,-1.0,-1.0,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,215.56
2024-07-03,-1.0,-1.0,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,217.99
2024-07-05,-0.3957182344746086,-0.3957182344746086,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,220.93
2024-07-08,-1.0,-1.0,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,218.19
2024-07-09,-1.0,-1.0,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,218.56
2024-07-10,-0.9316236879492755,-0.9316236879492755,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,219.36
2024-07-11,0.18971985455927481,0.18971985455927481,0.27979213226717986,2024-06-28,adaptive_band,130,0.6780743011676504,223.25
2024-07-12,0.06558279462221003,0.06558279462221003,0.09671918624445114,2024-06-28,adaptive_band,130,0.6780743011676504,223.11
2024-07-15,0.1749101075870616,0.1749101075870616,0.2579512411631951,2024-06-28,adaptive_band,130,0.6780743011676504,223.83
2024-07-16,1.0,1.0,1.0,2024-06-28,adaptive_band,130,0.6780743011676504,228.29
2024-07-17,0.6973227123042763,0.6973227123042763,1.0,2024-06-28,adaptive_band,130,0.6780743011676504,227.23
2024-07-18,0.25658374202878076,0.25658374202878076,0.3784006289383643,2024-06-28,adaptive_band,130,0.6780743011676504,225.78
2024-07-19,-0.7190159226607259,-0.7190159226607259,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,221.73
2024-07-22,-0.7178898977148924,-0.7178898977148924,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,221.8
2024-07-23,-0.551467404268545,-0.551467404268545,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,222.58
2024-07-24,-0.7407640111211043,-0.7407640111211043,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,221.8
2024-07-25,-1.0,-1.0,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,218.33
2024-07-26,-1.0,-1.0,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,220.63
2024-07-29,-1.0,-1.0,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,220.32
2024-07-30,-0.6531659269645642,-0.6531659269645642,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,222.52
2024-07-31,0.1833864363409969,0.1833864363409969,0.2704518310533281,2024-06-28,adaptive_band,130,0.6780743011676504,226.55
2024-08-01,-0.06761355779846735,-0.06761355779846735,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,225.77
2024-08-02,-0.21283845840744306,-0.21283845840744306,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,225.34
2024-08-05,-0.8658951660193661,-0.8658951660193661,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,222.48
2024-08-06,-1.0,-1.0,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,220.7
2024-08-07,-1.0,-1.0,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,220.55
2024-08-08,-0.5890119437108812,-0.5890119437108812,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,224.01
2024-08-09,-0.5060098677612412,-0.5060098677612412,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,224.56
2024-08-12,0.25352501849113757,0.25352501849113757,0.37388973163348777,2024-06-28,adaptive_band,130,0.6780743011676504,228.41
2024-08-13,0.08569232228361236,0.08569232228361236,0.12637600648785738,2024-06-28,adaptive_band,130,0.6780743011676504,228.06
2024-08-14,-0.3565121994721271,-0.3565121994721271,0.0,2024-06-28,adaptive_band,130,0.6780743011676504,226.2
