Date,adaptive_volatility_band_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2023-05-25,0.4966548737532537,0.4966548737532537,0.4966548737532537,2023-04-28,adaptive_volatility_band,45,1.0,180.2
2023-05-26,0.26342959048729747,0.26342959048729747,0.26342959048729747,2023-04-28,adaptive_volatility_band,45,1.0,180.92
2023-05-30,0.46312379656566466,0.46312379656566466,0.46312379656566466,2023-04-28,adaptive_volatility_band,45,1.0,182.04
2023-05-31,0.14828129843518034,0.14828129843518034,0.14828129843518034,2023-04-28,adaptive_volatility_band,45,1.0,182.32
2023-06-01,0.9837248296646652,0.9837248296646652,0.9917956512455984,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,183.76
2023-06-02,1.0,1.0,1.0,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,181.05
2023-06-05,0.014499053706078326,0.014499053706078326,0.01461800899929179,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,182.14
2023-06-06,-0.7217198177039673,-0.7217198177039673,0.0,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,182.34
2023-06-07,0.7300480845754512,0.7300480845754512,0.736037653668791,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,180.15
2023-06-08,-0.7579553026536179,-0.7579553026536179,0.0,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,182.53
2023-06-09,-0.5380293774038654,-0.5380293774038654,0.0,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,182.04
2023-06-12,-0.5098605590669487,-0.5098605590669487,0.0,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,181.88
2023-06-13,0.39969320362458016,0.39969320362458016,0.4029724260618803,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,180.54
2023-06-14,0.3640302222142426,0.3640302222142426,0.36701685311443055,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,180.64
2023-06-15,0.23303121289492001,0.23303121289492001,0.23494308223617114,2023-05-31,adaptive_volatility_band,45,0.9918624148323326,181.91
