Date,adaptive_band_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2022-04-19,1.0,1.0,1.0,2022-03-31,adaptive_band,45,1.0,181.82
2022-04-20,1.0,1.0,1.0,2022-03-31,adaptive_band,45,1.0,182.71
2022-04-21,1.0,1.0,1.0,2022-03-31,adaptive_band,45,1.0,182.06
2022-04-22,1.0,1.0,1.0,2022-03-31,adaptive_band,45,1.0,180.29
2022-04-25,1.0,1.0,1.0,2022-03-31,adaptive_band,45,1.0,177.05
2022-04-26,1.0,1.0,1.0,2022-03-31,adaptive_band,45,1.0,177.32
2022-04-27,1.0,1.0,1.0,2022-03-31,adaptive_band,45,1.0,175.98
2022-04-28,1.0,1.0,1.0,2022-03-31,adaptive_band,45,1.0,176.93
2022-04-29,1.0,1.0,1.0,2022-03-31,adaptive_band,45,1.0,176.91
2022-05-02,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,173.63
2022-05-03,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,174.09
2022-05-04,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,175.8
2022-05-05,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,175.13
2022-05-06,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,175.42
2022-05-09,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,172.88
2022-05-10,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,171.42
2022-05-11,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,172.82
2022-05-12,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,170.17
2022-05-13,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,168.79
2022-05-16,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,170.4
2022-05-17,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,169.33
2022-05-18,1.0,1.0,1.0,2022-04-29,adaptive_band,45,1.0,169.42
2022-05-19,-1.0,-1.0,0.0,2022-04-29,adaptive_band,45,1.0,171.91
