Date,fear_greed_candle_volume_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2021-04-27,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,166.42
2021-04-28,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,166.91
2021-04-29,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,166.22
2021-04-30,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,165.66
2021-05-03,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,167.81
2021-05-04,-1,-1,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,166.58
2021-05-05,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,167.27
2021-05-06,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,170.06
2021-05-07,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,171.59
2021-05-10,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,172.11
2021-05-11,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,172.14
2021-05-12,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,170.43
2021-05-13,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,171.13
2021-05-14,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,172.69
2021-05-17,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,174.7
2021-05-18,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,175.04
2021-05-19,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,175.16
2021-05-20,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,175.96
2021-05-21,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,176.04
2021-05-24,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,176.35
2021-05-25,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,177.95
2021-05-26,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,177.64
2021-05-27,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,177.71
2021-05-28,0,0,0.0,2021-04-30,fear_greed_candle_volume,45,0.05000000000000071,178.38
2021-06-01,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,177.9
2021-06-02,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,178.77
2021-06-03,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,175.27
2021-06-04,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,177.16
2021-06-07,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,177.87
2021-06-08,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,177.32
2021-06-09,0,0,0.0,2021-05-28,fear_greed_candle_volume,45,1.0,176.98
