Date,ma_crossover_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2023-03-07,-0.5818773946360585,-0.5818773946360585,0.0,2023-02-28,ma_crossover,45,0.44265325670496325,168.62
2023-03-08,-0.6886973180077083,-0.6886973180077083,0.0,2023-02-28,ma_crossover,45,0.44265325670496325,168.54
2023-03-09,-0.8231417624521119,-0.8231417624521119,0.0,2023-02-28,ma_crossover,45,0.44265325670496325,170.2
2023-03-10,-0.8349425287356399,-0.8349425287356399,0.0,2023-02-28,ma_crossover,45,0.44265325670496325,173.87
2023-03-13,-0.838544061302695,-0.838544061302695,0.0,2023-02-28,ma_crossover,45,0.44265325670496325,177.86
2023-03-14,-0.8259386973179909,-0.8259386973179909,0.0,2023-02-28,ma_crossover,45,0.44265325670496325,176.83
2023-03-15,-0.8105363984674535,-0.8105363984674535,0.0,2023-02-28,ma_crossover,45,0.44265325670496325,178.21
2023-03-16,-0.8352873563218582,-0.8352873563218582,0.0,2023-02-28,ma_crossover,45,0.44265325670496325,178.57
2023-03-17,-0.7767049808429067,-0.7767049808429067,0.0,2023-02-28,ma_crossover,45,0.44265325670496325,183.77
2023-03-20,-0.6045210727969295,-0.6045210727969295,0.0,2023-02-28,ma_crossover,45,0.44265325670496325,183.84
2023-03-21,-0.46586206896550425,-0.46586206896550425,0.0,2023-02-28,ma_crossover,45,0.44265325670496325,180.37
2023-03-22,-0.304789272030664,-0.304789272030664,0.0,2023-02-28,ma_crossover,45,0.44265325670496325,183.44
2023-03-23,-0.09448275862069398,-0.09448275862069398,0.0,2023-02-28,ma_crossover,45,0.44265325670496325,185.74
2023-03-24,0.05816091954024017,0.05816091954024017,0.13139159976632797,2023-02-28,ma_crossover,45,0.44265325670496325,183.65
2023-03-27,0.09337164750961457,0.09337164750961457,0.21093631662095405,2023-02-28,ma_crossover,45,0.44265325670496325,181.95
2023-03-28,0.16616858237548526,0.16616858237548526,0.37539220565644627,2023-02-28,ma_crossover,45,0.44265325670496325,183.44
2023-03-29,0.23567049808431847,0.23567049808431847,0.532404301819917,2023-02-28,ma_crossover,45,0.44265325670496325,182.53
2023-03-30,0.3675095785440527,0.3675095785440527,0.830242572436341,2023-02-28,ma_crossover,45,0.44265325670496325,184.18
