feature_column,target_horizon_days,selection_rows,evaluation_rows,coefficient,intercept,selection_correlation,selection_directional_accuracy,evaluation_correlation,evaluation_directional_accuracy
ma_crossover_score,75,156,154,-0.05377989200251557,0.10751653778635438,0.48496595960388506,0.9935897435897436,0.3841249024866202,0.974025974025974
ma_crossover_score,118,113,111,-0.024540236869476595,0.15485353064152643,0.3184942513600436,1.0,0.379122088030821,1.0
ma_crossover_score,122,109,107,-0.01748150228394166,0.15955913479864056,0.2022393303656992,1.0,0.3786521566894433,1.0
ma_crossover_score,74,157,155,-0.054404443807901395,0.1065982011013748,0.483572835877134,0.9936305732484076,0.3715039504773776,0.9806451612903225
ma_crossover_score,119,112,110,-0.023559338002043146,0.15614045278458888,0.29881474308780953,1.0,0.36647146977702866,1.0
ma_crossover_score,121,110,108,-0.020206047977137397,0.15867795039853302,0.24242579593293112,1.0,0.36638438758166764,1.0
ma_crossover_score,73,158,156,-0.05417482347713172,0.10537945719877659,0.47894168960156874,1.0,0.36185554820846194,0.9615384615384616
ma_crossover_score,120,111,109,-0.021929945685337054,0.15732142172723565,0.2706184116577879,1.0,0.3600078389439541,1.0
ma_crossover_score,72,159,157,-0.05329480822035773,0.10409965532166421,0.4651840122040808,0.9874213836477987,0.3537598846925334,0.9681528662420382
ma_crossover_score,71,160,158,-0.051839439135913025,0.10250910620327756,0.4473888061911349,0.9875,0.3500754204807133,0.9620253164556962
ma_crossover_score,70,161,159,-0.050096987119988855,0.1007203742969167,0.4267576560578123,0.9813664596273292,0.34670789156328824,0.9622641509433962
ma_crossover_score,69,162,160,-0.04882160432907025,0.09916890537783596,0.40927563144143814,0.9753086419753086,0.34071097988686944,0.9625
ma_crossover_score,68,163,161,-0.048119110002654585,0.09769463372836601,0.39501324456952874,0.9693251533742331,0.3292184941203201,0.9565217391304348
ma_crossover_score,67,164,162,-0.048344756778883814,0.09642480072209832,0.39108306455435665,0.9695121951219512,0.31578623821058294,0.9629629629629629
ma_crossover_score,66,165,163,-0.04925378705612351,0.09536555907498599,0.39378470223734835,0.9696969696969697,0.2989107625966084,0.9631901840490797
ma_crossover_score,65,166,164,-0.05055030898025427,0.09454278500129439,0.4028612340837217,0.963855421686747,0.28531052199037593,0.9573170731707317
ma_crossover_score,64,167,165,-0.05156042948242841,0.09367101536510955,0.41037561959079105,0.9580838323353293,0.26620654868825044,0.9636363636363636
ma_crossover_score,63,168,166,-0.05279205427516616,0.09283943085592244,0.4191745876827803,0.9523809523809523,0.2432898701441077,0.9698795180722891
adaptive_volatility_band_score,116,115,113,0.015753288928914914,0.14771597692002825,0.32765404571949974,1.0,0.23818357484505956,1.0
adaptive_volatility_band_score,99,132,130,0.017561599811137207,0.12658476463358578,0.31867342881625776,1.0,0.23530996888003874,1.0
ma_crossover_score,62,169,167,-0.053591557363477614,0.09193771822238596,0.4264350950664566,0.9467455621301775,0.21976384975312757,0.9700598802395209
adaptive_volatility_band_score,98,133,131,0.015783606126477962,0.12493310752880223,0.2839934028287487,1.0,0.21652618569553725,1.0
adaptive_volatility_band_score,115,116,114,0.017550804635314568,0.14670535538126608,0.3700389136632267,1.0,0.21016370566144504,1.0
adaptive_volatility_band_score,118,113,111,0.013183612005423626,0.15052345410771167,0.2692314058932078,1.0,0.2092097466154563,1.0
adaptive_volatility_band_score,100,131,129,0.020312101202615486,0.12846869042833772,0.36747853770993866,1.0,0.2058115070895373,1.0
adaptive_volatility_band_score,117,114,112,0.012545398482733632,0.1488764653549853,0.25661322542176607,1.0,0.20168404968861772,1.0
ma_crossover_score,61,170,168,-0.05398065579605012,0.09088757869093148,0.42919294729237034,0.9470588235294117,0.19949509575576124,0.9642857142857143
adaptive_volatility_band_score,91,140,138,0.014649601254609079,0.11472842148446258,0.2649563073766756,1.0,0.1989047124670248,1.0
adaptive_volatility_band_score,114,117,115,0.016814066089771918,0.1454269221174118,0.357123186368501,1.0,0.19857116561004926,1.0
adaptive_volatility_band_score,101,130,128,0.02123210658866549,0.13014192754329063,0.3885633400683786,1.0,0.19606420812036612,1.0
adaptive_volatility_band_score,92,139,137,0.014408286194658249,0.11615257673638137,0.26187129669346326,1.0,0.19518894166848855,1.0
adaptive_volatility_band_score,88,143,141,0.019237214159334867,0.11087114267811418,0.3331430836084267,1.0,0.1949515886050676,0.9929078014184397
adaptive_volatility_band_score,96,135,133,0.015202040919838471,0.12202722518033578,0.27356110664150196,1.0,0.19294848851668328,1.0
adaptive_volatility_band_score,89,142,140,0.01904746681632147,0.11249794265080236,0.3331923976861569,1.0,0.19258221075254503,0.9928571428571429
adaptive_volatility_band_score,87,144,142,0.019007946325879953,0.10954991670119861,0.32215996335517955,1.0,0.18983627028799122,0.9859154929577465
adaptive_volatility_band_score,97,134,132,0.014525295235927127,0.12319688552607613,0.26079443936517543,1.0,0.18851664764779738,1.0
fear_greed_candle_volume_score,82,149,147,0.028255749302141413,0.1013363943833599,0.07649836608177916,1.0,0.18661109173320245,0.9727891156462585
fear_greed_candle_volume_score,84,147,145,0.0408495087370036,0.10389534466826184,0.11236166024322296,1.0,0.18469839242776323,0.9724137931034482
adaptive_volatility_band_score,86,145,143,0.01747784079923303,0.10799296800089253,0.29557551019019224,1.0,0.1836166394902655,0.986013986013986
adaptive_volatility_band_score,119,112,110,0.012095522058573404,0.15182762363858418,0.23961212211338467,1.0,0.18335662445644366,1.0
ma_crossover_score,60,171,169,-0.05449371273381839,0.08999940485275669,0.43086729813165203,0.9415204678362573,0.18269544978603372,0.9644970414201184
fear_greed_candle_volume_score,86,145,143,0.04298341527283616,0.10647003017420634,0.12094392441512446,1.0,0.18236272435328002,0.986013986013986
ma_crossover_score,45,186,184,-0.036868043139204956,0.06811796767512414,0.2702755097865247,0.7956989247311828,0.18080930900886197,0.9021739130434783
ma_crossover_score,34,197,195,-0.04014917615961643,0.05496931941630524,0.30995358238808063,0.7411167512690355,0.17953733626296414,0.8717948717948718
fear_greed_candle_volume_score,81,150,148,0.015247727105823491,0.09993659038899132,0.04105285738397892,1.0,0.1793636111953678,0.9864864864864865
ma_crossover_score,46,185,183,-0.03878258059537936,0.06986741270352022,0.2876397204966174,0.8162162162162162,0.17891481564915745,0.907103825136612
fear_greed_candle_volume_score,83,148,146,0.02938191020007116,0.1025233161496156,0.07987409575309115,1.0,0.1786236320156728,0.9794520547945206
fear_greed_candle_volume_score,88,143,141,0.03449378108360157,0.10881869594446592,0.10034719353081992,1.0,0.17847539875371873,0.9929078014184397
fear_greed_candle_volume_score,87,144,142,0.03826731466375273,0.10763963774685079,0.1087832567664276,1.0,0.17751532906302964,0.9859154929577465
adaptive_volatility_band_score,94,137,135,0.0156727472691668,0.11930874123960526,0.28419365764597077,1.0,0.17740992671787797,1.0
ma_crossover_score,44,187,185,-0.0353156898375915,0.066462993627155,0.2558846754983971,0.786096256684492,0.1772691637507154,0.8972972972972973
fear_greed_candle_volume_score,85,146,144,0.04234917034765657,0.10511799573816578,0.11777022722656799,1.0,0.1764728564434954,0.9791666666666666
