Date,Open,High,Low,Close,Volume
2019-04-04,203.26,204.94,202.79,204.1,2738674
2019-04-05,204.12,205.53,203.1,205.27,3644432
2019-04-08,205.14,205.64,203.97,205.07,2946374
2019-04-09,204.84,204.97,203.59,204.36,2942399
2019-04-10,205.12,205.23,203.6,204.52,2884648
2019-04-11,204.76,207.09,204.27,206.64,3280515
2019-04-12,208.08,211.674,207.58,210.49,5374632
2019-04-15,210.52,210.55,207.76,209.74,2904032
2019-04-16,210.15,211.84,210.0,211.6,2955340
2019-04-17,212.02,212.49,209.68,210.37,3308784
2019-04-18,210.96,211.43,209.73,209.99,2794160
2019-04-22,209.5,210.37,208.88,209.49,2176608
2019-04-23,209.5,211.88,208.89,211.61,3679966
2019-04-24,211.55,212.02,210.234,210.78,3887654
2019-04-25,209.62,212.67,209.34,211.81,3378845
2019-04-26,211.85,214.22,211.81,214.13,3477951
2019-04-29,214.92,217.22,214.6,216.58,3647046
2019-04-30,217.32,217.32,214.7,216.71,4294918
2019-05-01,217.15,218.79,216.49,216.71,4083873
2019-05-02,217.19,217.7,215.17,215.8,2673513
2019-05-03,217.14,219.16,216.87,218.6,3674825
2019-05-06,214.685,215.51,211.541,213.155,5853210
2019-05-07,211.34,211.6,207.41,209.428,5630559
2019-05-08,208.26,211.72,207.6,209.45,4168979
2019-05-09,207.34,208.92,204.39,208.58,4574025
2019-05-10,207.89,209.29,204.305,209.18,4296522
2019-05-13,204.96,205.91,204.3,205.01,5602525
2019-05-14,205.7,206.815,203.45,203.89,4283265
2019-05-15,203.17,204.13,201.39,203.09,4394518
2019-05-16,204.09,206.66,203.9,204.63,3466603
2019-05-17,203.0,205.46,202.45,203.27,5417799
2019-05-20,202.64,203.18,201.75,202.73,3008113
2019-05-21,203.16,203.987,202.5,203.31,3061512
2019-05-22,202.72,203.49,201.7,202.56,2980672
2019-05-23,200.8,202.18,199.32,201.2,5163622
2019-05-24,202.12,202.12,200.79,201.89,3663972
2019-05-28,202.05,202.41,199.52,199.7,9309749
2019-05-29,198.95,199.49,197.34,198.64,4863721
2019-05-30,198.76,200.211,198.76,199.74,3861359
2019-05-31,198.32,198.83,197.075,197.42,4264056
2019-06-03,197.62,198.92,196.89,198.8,4619727
2019-06-04,200.63,201.65,199.57,201.59,4932768
2019-06-05,202.38,203.38,200.91,203.27,3683676
2019-06-06,202.9,205.39,202.54,204.89,3280190
2019-06-07,205.0,206.54,204.8,205.81,2697243
2019-06-10,207.12,208.08,206.46,207.2,3328510
2019-06-11,208.43,208.99,206.0,206.69,2582852
2019-06-12,206.2,206.6,203.92,204.5,2880911
2019-06-13,204.46,205.76,204.3,204.99,2508021
2019-06-14,204.87,205.845,203.85,205.23,3027244
2019-06-17,205.85,205.85,203.16,203.48,3191209
2019-06-18,204.34,206.462,203.98,206.01,4111512
2019-06-19,206.36,208.31,206.14,206.93,3530791
2019-06-20,208.51,208.75,206.041,208.05,4311502
2019-06-21,208.43,208.72,205.71,206.04,6881554
2019-06-24,206.39,207.59,205.96,206.9,3819319
2019-06-25,207.41,208.48,206.8,208.07,4278396
2019-06-26,208.28,210.0,208.21,208.51,4485054
2019-06-27,208.97,212.54,208.81,212.0,4436888
2019-06-28,213.0,213.33,211.32,213.17,8567330
2019-07-01,214.25,215.21,213.21,214.673,3780101
2019-07-02,214.38,215.59,213.4,214.6,3449490
2019-07-03,215.0,215.29,212.66,215.0,2881435
2019-07-05,215.13,215.77,213.9,215.14,2854563
2019-07-08,214.0,215.8,213.91,215.13,2716131
2019-07-09,213.02,214.92,212.94,214.88,2747878
2019-07-10,215.21,216.58,213.53,213.98,3670764
2019-07-11,214.31,214.55,212.98,213.14,2937043
2019-07-12,213.2,214.19,212.51,214.08,2534164
2019-07-15,214.44,214.44,212.82,213.21,2962568
2019-07-16,214.29,215.04,212.78,213.03,2936224
2019-07-17,212.51,212.96,207.41,207.64,4587368
2019-07-18,207.52,209.094,207.12,207.97,3810437
2019-07-19,208.1,208.25,205.65,205.83,3833133
2019-07-22,205.34,206.16,204.36,204.84,3144565
2019-07-23,205.54,206.63,204.92,206.41,3135583
2019-07-24,205.74,208.01,205.63,207.8,3054281
2019-07-25,208.37,208.37,206.53,207.62,3357504
2019-07-26,207.82,210.03,206.75,209.93,3348895
2019-07-29,209.95,210.0,208.42,208.77,2734557
2019-07-30,207.89,208.36,206.86,207.62,2136144
2019-07-31,207.8,209.5,205.3,205.43,5310884
2019-08-01,205.63,206.98,201.49,201.9,5262981
2019-08-02,201.79,204.43,199.42,202.88,5747773
2019-08-05,199.9,201.1,197.16,197.92,7877351
2019-08-06,199.61,200.93,197.9,200.5,5600465
2019-08-07,198.56,199.296,195.4,198.25,5912661
2019-08-08,199.93,200.87,198.12,200.63,4976454
2019-08-09,200.19,200.55,197.67,199.05,4828305
2019-08-12,197.61,199.47,196.91,197.18,2392536
2019-08-13,197.46,201.0,196.5,198.99,4246796
2019-08-14,195.78,197.25,195.61,196.5,6507810
2019-08-15,197.08,199.041,196.38,198.3,5213851
2019-08-16,200.5,200.88,198.31,200.0,5301666
2019-08-19,202.72,203.1,200.38,200.92,4694886
2019-08-20,200.27,200.285,198.0,198.13,4594939
2019-08-21,199.07,199.77,198.71,199.24,3895374
2019-08-22,199.8,201.87,199.8,200.75,3743516
2019-08-23,200.19,200.92,195.96,197.36,6947449
2019-08-26,198.53,200.2,197.44,200.2,3524828
2019-08-27,200.76,201.3,198.04,198.49,3450492
2019-08-28,198.02,200.57,197.53,200.45,3732358
2019-08-29,201.71,203.8,201.66,203.2,3668868
2019-08-30,204.0,204.351,202.73,203.02,4299975
