year,hold_days,update_label,block_days,negative_bh_blocks,positive_bh_blocks,avg_exposure_when_bh_negative,avg_exposure_when_bh_positive,exposure_gap_positive_minus_negative,avg_strategy_return_when_bh_negative,avg_strategy_return_when_bh_positive,strategy_return_gap_positive_minus_negative,corr_block_bh_vs_exposure,buy_hold_return,strategy_return,average_exposure,hundred_pct_equivalent_return,beats_buy_hold,beats_buy_hold_efficiency_proxy
2022,45,1M,130,1,1,0.1414088982819646,0.3759157124708334,0.2345068141888688,-0.03269965804492303,-0.02317268401857764,0.009526974026345392,1.0,0.0077823323234123,-0.05673879414290184,0.25445799994273405,-0.22297901483023108,False,False
2022,45,2M,45,3,3,0.29805680850825544,0.08582270962809653,-0.21223409888015893,-0.0178461238169532,0.0005026879796411476,0.01834881179659435,-0.3267309687886044,0.0077823323234123,-0.05112213508746044,0.2051563953407424,-0.24918616357317133,False,False
2022,45,2M,130,1,1,0.07284965314507394,0.34730413488980766,0.27445448174473375,-0.011603871117906617,-0.039099766274270586,-0.02749589515636397,1.0,0.0077823323234123,-0.05112213508746044,0.2051563953407424,-0.24918616357317133,False,False
2022,45,3M,45,3,3,0.5219041923428798,0.34454996037859936,-0.1773542319642804,-0.030109507680516456,0.012907999116366383,0.04301750679688284,-0.42004134579256264,0.0077823323234123,-0.05066414457330293,0.43463825217286517,-0.1165662348401693,False,False
2022,45,3M,130,1,1,0.22984806753710355,0.654660764591452,0.42481269705434843,-0.04911814470793585,0.001018559225629545,0.050136703933565396,1.0,0.0077823323234123,-0.05066414457330293,0.43463825217286517,-0.1165662348401693,False,False
2022,45,6M,45,3,3,0.3348403357053902,0.4463247423069743,0.1114844066015841,-0.020266710758629736,0.020934129208254843,0.041200839966884575,-0.008293074720397848,0.0077823323234123,0.007595177858190416,0.3851861683538316,0.01971819987890503,False,True
2022,45,6M,130,1,1,0.05490719712203805,0.7400313440574113,0.6851241469353733,-0.013403610312866632,0.022574648427381883,0.035978258740248514,1.0,0.0077823323234123,0.007595177858190416,0.3851861683538316,0.01971819987890503,False,True
2022,130,1M,45,3,3,0.40188892211982014,0.41114706283478464,0.009258140714964502,-0.021843853816452746,0.02228159756124337,0.04412545137769612,-0.26239327071807594,0.0077823323234123,-0.003043535512974538,0.39683149424054176,-0.007669591645691511,False,False
2022,130,1M,130,1,1,0.22133444338832992,0.5853820447429181,0.3640476013545882,-0.03074827977778638,0.03043070401641712,0.0611789837942035,1.0,0.0077823323234123,-0.003043535512974538,0.39683149424054176,-0.007669591645691511,False,False
2022,130,2M,45,3,3,0.23307139412932906,0.3246489719074029,0.09157757777807382,-0.012570272493439264,0.017115767880141537,0.029686040373580802,-0.0378212337941439,0.0077823323234123,0.01274646324673867,0.2663119352242666,0.04786290646720215,True,True
2022,130,2M,130,1,1,0.11951364270572468,0.42402910900451823,0.30451546629879356,-0.012506411325001188,0.026505850041094847,0.039012261366096035,1.0,0.0077823323234123,0.01274646324673867,0.2663119352242666,0.04786290646720215,True,True
2022,130,3M,45,3,3,0.4021338824499439,0.4721674150411526,0.0700335325912087,-0.02197086679766606,0.02331519602196286,0.04528606281962892,-0.1598845693706115,0.0077823323234123,0.0034930529071575123,0.42406028797638334,0.008237161097603288,False,True
